Reference for the resource,"@article{wordnet,
  title={Introduction to WordNet: An on-line lexical database},
  author={Miller, George A and Beckwith, Richard and Fellbaum, Christiane and Gross, Derek and Miller, Katherine J},
  journal={International journal of lexicography},
  volume={3},
  number={4},
  pages={235--244},
  year={1990},
  publisher={Oxford University Press}
}","@inproceedings{wsj0,
  title={Collection and Analyses of WSJ-CSR Data at MIT},
  author={Phillips, Michael and Glass, James and Polifroni, Joseph and Zue, Victor},
  booktitle={Speech and Natural Language: Proceedings of a Workshop Held at Harriman, New York, February 23-26, 1992},
  year={1992}
}","@misc{datatang1,
        author = {Beijing DataTang Technology Co., Ltd},
        title = {{A}{I} data annotation data customization {D}atatang --- datatang.ai},
        howpublished = {\url{https://www.datatang.ai/annotation}},
        year = {},
        note = {[Accessed 25-Jun-2023]},
}","@article{aishell2,
  title={Aishell-2: Transforming mandarin asr research into industrial scale},
  author={Du, Jiayu and Na, Xingyu and Liu, Xuechen and Bu, Hui},
  journal={arXiv preprint arXiv:1808.10583},
  year={2018}
}","@misc{csj1,
        author = {Seiju Sugito, Kikuo Maekawa, Hanae Koiso, Kenya Nishikawa, Yoko Mabuchi        },
        title = {{D}ocuments - {C}orpus of {S}pontaneous {J}apanese --- clrd.ninjal.ac.jp},
        howpublished = {\url{https://clrd.ninjal.ac.jp/csj/en/document.html}},
        year = {2006},
        note = {[Accessed 25-Jun-2023]},
}","@article{hkustSpeech1,
  title={Hkust mandarin telephone speech, part 1},
  author={Fung, P and Huang, S and Graff, D},
  journal={LDC2005S15. Web download},
  year={2005}
}","@misc{hkust2,
        author = {Hong Kong University of Science and Technology},
        title = {{L}inguistic {D}ata {C}onsortium {C}atalog},
        howpublished = {\url{https://catalog.ldc.upenn.edu/docs/LDC2005S15/}},
        year = {2007},
        note = {[Accessed 25-Jun-2023]},
}","@article{jsut,
  title={JSUT corpus: free large-scale Japanese speech corpus for end-to-end speech synthesis},
  author={Sonobe, Ryosuke and Takamichi, Shinnosuke and Saruwatari, Hiroshi},
  journal={arXiv preprint arXiv:1711.00354},
  year={2017}
}","@misc{vox1,
        author = {Ken MacLean},
        title = {{F}ree {S}peech... {R}ecognition ({L}inux, {W}indows and {M}ac) - voxforge.org},
        howpublished = {\url{https://www.voxforge.org/}},
        year = {},
        note = {[Accessed 25-Jun-2023]},
}","@misc{aishell12,
  author       = ""Beijing Shell Shell Technology Co., Ltd"",
  title        = ""Open Source Mandarin Speech Corpus
[AISHELL-ASR0009-OS1]
Training and Test Data "",
  howpublished = ""online"",
  month        = ""Nov"",
  year         = ""2018"",
  note         = ""documentation"",

}","@misc{fishspeech,
        author = {David Graff, Shudong Huang, Ingrid Cartagena, Kevin Walker, Christopher Cieri},
        title = {{F}isher {S}panish {S}peech - {L}inguistic {D}ata {C}onsortium --- catalog.ldc.upenn.edu},
        howpublished = {\url{https://catalog.ldc.upenn.edu/LDC2010S01}},
        year = {2010},
        note = {[Accessed 25-Jun-2023]},
}","@misc{fishtrans,
        author = {David Graff, Shudong Huang, Ingrid Cartagena, Kevin Walker, Christopher Cieri},
        title = {Fisher Spanish - Transcripts},
        howpublished = {\url{https://catalog.ldc.upenn.edu/LDC2010T04}},
        year = {2010},
        note = {[Accessed 25-Jun-2023]},
}",,"@misc{calltrans1,
        author = {Barbara Wheatley},
        title = {{C}{A}{L}{L}{H}{O}{M}{E} {S}panish {T}ranscripts - {L}inguistic {D}ata {C}onsortium --- catalog.ldc.upenn.edu},
        howpublished = {\url{https://catalog.ldc.upenn.edu/LDC96T17}},
        year = {1997},
        note = {[Accessed 25-Jun-2023]},
}","@misc{librivox,
        author = {Hugh McGuire},
        title = { {L}ibri{V}ox | free public domain audiobooks  --- librivox.org},
        howpublished = {\url{https://librivox.org/}},
        year = {2005},
        note = {[Accessed 25-Jun-2023]},
}","@inproceedings{switchboard1,
  title={SWITCHBOARD: Telephone speech corpus for research and development},
  author={Godfrey, John J and Holliman, Edward C and McDaniel, Jane},
  booktitle={Acoustics, Speech, and Signal Processing, IEEE International Conference on},
  volume={1},
  pages={517--520},
  year={1992},
  organization={IEEE Computer Society}
}","@misc{ted,
        author = {TED Conferences LLC.},
        title = {translate transcribe --- ted.com},
        howpublished = {\url{https://www.ted.com/participate/translate/transcribe}},
        year = {2022},
        note = {[Accessed 25-Jun-2023]},
}","@misc{Lindalibrivox,
        author = {LibriVox, Linda Johnsonn},
        title = {Linda Johnsonn {L}ibri{V}ox --- librivox.org},
        howpublished = {\url{https://librivox.org/sections/readers/11049}},
        year = {2016},
        note = {[Accessed 25-Jun-2023]},
}","@inproceedings{cstr1,
  title={The voice bank corpus: Design, collection and data analysis of a large regional accent speech database},
  author={Veaux, Christophe and Yamagishi, Junichi and King, Simon},
  booktitle={2013 international conference oriental COCOSDA held jointly with 2013 conference on Asian spoken language research and evaluation (O-COCOSDA/CASLRE)},
  pages={1--4},
  year={2013},
  organization={IEEE}
}","@article{darpatimit,
  title={DARPA TIMIT acoustic-phonetic continous speech corpus CD-ROM. NIST speech disc 1-1.1},
  author={Garofolo, John S and Lamel, Lori F and Fisher, William M and Fiscus, Jonathan G and Pallett, David S},
  journal={NASA STI/Recon technical report n},
  volume={93},
  pages={27403},
  year={1993}
}","@misc{magnatune,
        author = {John Buckman},
        title = {{I}nformation: about {M}agnatune --- magnatune.com},
        howpublished = {\url{http://magnatune.com/info/}},
        year = {2003},
        note = {[Accessed 25-Jun-2023]},
}","@misc{freesound,
	author = {the Music Technology Group of Universitat Pompeu Fabra},
	title = {{F}reesound --- freesound.org},
	howpublished = {\url{https://freesound.org/}},
	year = {2005},
	note = {[Accessed 25-Jun-2023]},
}"
Another reference for the resource,,,"@misc{datatang2,
        author = {},
        title = {{P}apers with {C}ode - aidatatang_200zh {D}ataset --- paperswithcode.com},
        howpublished = {\url{https://paperswithcode.com/dataset/aidatatang-200zh}},
        year = {},
        note = {[Accessed 25-Jun-2023]},
}",,"@book{csj2,
   author         = ""国立国語研究所"",
   title         = ""日本語話し言葉コーパスの構築法"",
   publisher         = ""国立国語研究所"",
   year          = ""2006"",
   month         = ""mar""
}","@misc{hkustSpeech2,
        author = {Pascale Fung, Shudong Huang, David Graff},
        title = {Mandarin Chinese Conversational Telephone Speech & Transcripts, PART 1},
        howpublished = {\url{https://catalog.ldc.upenn.edu/docs/LDC2005S15/}},
        year = {2005},
        note = {[Accessed 25-Jun-2023]},
}",,,"@misc{vox2,
        author = {VoxForge},
        title = {{P}apers with {C}ode - {V}ox{F}orge {D}ataset},
        howpublished = {\url{https://paperswithcode.com/dataset/voxforge}},
        year = {2019},
        note = {[Accessed 25-Jun-2023]},
}",,,,\cite calltrans2,"@misc{calltrans2,
        author = {Barbara Wheatley},
        title = {{C}{A}{L}{L}{H}{O}{M}{E} {S}panish {T}ranscripts - {L}inguistic {D}ata {C}onsortium --- catalog.ldc.upenn.edu},
        howpublished = {\url{https://catalog.ldc.upenn.edu/docs/LDC96T17/}},
        year = {1997},
        note = {[Accessed 25-Jun-2023]},
}",,,,,"@misc{cstr2,
        author = {Junichi Yamagishi},
        title = { CSTR VCTK Corpus 
      English Multi-speaker Corpus for CSTR Voice Cloning Toolkit },
        howpublished = {\url{https://datashare.ed.ac.uk/bitstream/handle/10283/3443/README.txt?sequence=1&isAllowed=y}},
        year = {2019},
        note = {[Accessed 25-Jun-2023]},
}",,,
Another reference for the resource,,,"@misc{datatang3,
        author = {speechocean},
        title = {{T}he largest open source {C}hinese corpus and another five speech recognition datasets --- en.speechocean.com},
        howpublished = {\url{https://en.speechocean.com/Cy/778.html}},
        year = {},
        note = {[Accessed 25-Jun-2023]},
}",,,,,,,,,,,,,,,,,,,
Another reference for the resource,,,"@misc{openslrOpenslrorg,
        author = {Beijing DataTang Technology Co., Ltd},
        title = {aidatatang_200zh},
        howpublished = {\url{http://openslr.org/62/}},
        year = {},
        note = {[Accessed 25-Jun-2023]},
}",,,,,,,,,,,,,,,,,,,
Name mentioned in the previous step,WordNet,WSJ0,AIDATATANG,AISHELL-2,CSJ,HKUST Speech data,,JSUT,VoxForge,AISHELL-ASR0009,LDC Fisher Spanish Speech,LDC Fisher Spanish - Transcripts,The CALLHOME Spanish Speech,The CALLHOME Spanish Transcripts,LibriVox,SWITCHBOARD,TED Talks,LibriVox data of Linda Johnson,CSTR VCTK Corpus English Multi-speaker Corpus for CSTR Voice Cloning Toolkit,DARPA TIMIT,MagnaTune Dataset,FreeSound
original name (if it is written wrongly),,,,,,,,,,,,,,,,,,,,,,
Whose audio/data is it,English Language,Random MIT academics voice recordings,600 speakers from different accent areas in China are invited to participate in the recording.,"1991 speakers: there were
1293 speakers using Northern ones, 678 speakers using
Southern ones and 20 speakers use other accents during
recording.",there are natural sounds and some random people's readings of speech. There is also a dialogue section where people's dialogues are recorded.,the random people who were recruited across China.,random people's phone talks,one female Japanese speaker,people who upload their own speech audio.,"the speakers who were recruited by Beijing Hill Shell Technology Co., Ltd.",136 fluent Spanish speakers randomly recruited for this task. People talking to each other do not previously know each other.,the recruited fluent in Spanish speakers,family and friends of the researchers. They called each other and talked for 10-30 minutes without any pre-determined topic.,family and friends of the researchers. They called each other and talked for 10-30 minutes without any pre-determined topic. The annotations were done by the transcribers funded by Texas Instruments.,volunteers voice recordings while reading chapters of some books,"500 speakers from around the world, they are refered as 'paid volunteers who speak American English'.",volunteers ted talks,Linda Johnson's voice recordings while reading chapters of some books,"109 English speakers with various accents. Speakers were recruited by advertising throughout University of Edinburgh, local newspapers and carers associations. ",The speakers were mainly TI personel. They are in total 630 people and they all read and recorded 10 sentences.,The volunteered artists.,People uploading their songs determine how to tag their songs but they need to provide some necessary information along with it.
"What is the read document/speech content, who does it belong to",English words,it is from Wall Street Journal,"everything from daily speech, machine instructions, voice commands etc.","8 major topics: voice commands such as IoT device control and digital sequential input, places of interest, entertainment, finance, technology, sports, English spellings and free speaking without specific topic. The total number of prompts is around half a million.","wide range of topics are covered from lectures. mock lectures, natural sounds, dialogues, some poems and famous speech read alouds.",People randomly having phone conversations based on the random topic they were given by the automatic operator.,it is given by the automatic operator,"variety of domains such as Japanese characters, onomatopia words, travel related words, songs, mostly utilized Japanese verbs and nouns.",the speech is given by the website,"the speech text is given, its topcs are include wide range of domains: music, TV, movie, finance, voice contral commands, science and technology, physical education etc.",random people are assigned to a random topic which changes every 24 hours.,the content is randomly given by the operator and changes every 24 hours,Most of the conversation was their daily talk.,it was random daily talk between two people who knew each other,the publicly available books ,"they have suggested topics but they do not need to rely on them. After the talk, their hired transcribers transcribe the audio and rate the 'naturalness' of the talk.",the topics the speakers have chosen to give a speech on,the publicly available books ,Herald Glasgow's newspaper texts.,"The text material is 2 dialect ""shibboleth"" sentences designed at SRI, 450 phonetically-compact sentences designed at MIT, and 1890 phonetically-diverse sentences selected at TI.",The songs.,The sounds.
Formal instructions for recording ,lexicographers from different universities filing a form for a word to be grouped in one sub-group. There also is a very long document on it.,"Yes, clearly written in the documentation",Recordings are conducted in a quiet indoor environment and the workers also recorded the speech.,"yes, clearly written in the documentation","yes, they describe it in their documentation",automated operator calling two participants as scheduled to initiate a call,HKUST Speech documentation explains it,they were having meetings with the speaker in 4 different months in 2017. They recorded her voice in our anechoic room. All of the details of the recording instruments were given in their documentation.,They have a short required actions to do to record and a test speech recording in their website. They have a special software which helps people to see and record their own audio.,"yes, it is written in their documentation","yes, there is the operator which is responsible for the recordings","yes, the speakers need to do the calls through a specific channel and need to talk 10 to 12 minutes in total and need to talk about the topic of the day.","recorded by toll-free robot operator maintained originally by Rutgers University, and later by the LDC",yes it was through a robotoperator,the volunteers are allowed to record any good quality way possible,the calls and the recordings are done through 'Robotoperator',"yes, they have a document per every tedtalk that the hosts need to apply.","Not known, she did not specify.","yes, all of the speakers needed to go to the recording place to record their readings of the news text.","Yes, it was given in their documentation in section 3.2 Recording Conditions and Procedures.",Every artist is free to record however they would like to.,Every artist is free to record however they would like to.
Formal instructions for annotating,"there is a hierarchy of lexicographers in the institution, so one request to be considered in a grouping, it needs to go through the hierarchy.",Not necessary,the workers of DataTang have instructions on how to annotate,Not necessary,they have a section on how to transcirbe the speech into Japanese writing. I understood that there are different ways to express some words becuase they have detailed instructions in their manual.,"They only collected audio, no annotation.",they have standards on annotating which was explained in the documentation,Not necessary. The text she read was given.,"Not necessary, people read the given text. Also, people need to annotate themselves in terms of their characteristics before uploading their audio by filling out a form.","yes, it is also written in their documentation","Not necessary, these are not annotated","yes, they have a specific documentation on how to annotate correctly","Not necessary, there are no annotations.","yes, it is written in the documentation. ","Not necessary, the readers are reading the written book chapters",they talk about the protocols utilized while transcribing it in their official documentation.,they have other volunteers who annotate the talks,"Not necessary, she was reading the publicly available books.",The text was read correctly and the people would categorize where they are from and what their accent is by themselves. The researchers also tried to categorize them based on their occupation.,"Not necessary, the people read the pre-defined texts.",People uploading their songs determine how to tag their songs.,People uploading their songs determine how to tag their songs and they also need to provide some additional details on themselves and how they want their sounds to be utilized.
